date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:03:50	45014/45014	---M-Z	200	added ('OK')	text/html	date:Sat,%2012%20Nov%202022%2015:34:52%20GMT	https://www.ncl.ac.uk/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day17/Web81/Site81/www.ncl.ac.uk/index.html	(from )
21:03:50	541/541	---M--	200	added ('OK')	text/plain	etag:%2221d-58574c518f140%22	https://www.ncl.ac.uk/robots.txt		(from )
21:03:50	103449/103449	---M-Z	200	added ('OK')	application/javascript	etag:%220ac913d0d7d81:0%22	https://consent.cookiebot.com/uc.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day17/Web81/Site81/consent.cookiebot.com/uc.js	(from https://www.ncl.ac.uk/)
21:03:51	47736/47736	---M--	200	added ('OK')	text/html	etag:%22ba78-5ed1c843cd640%22	https://www.ncl.ac.uk/webtemplate/fonts/bariol_regular.woff2	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day17/Web81/Site81/www.ncl.ac.uk/webtemplate/fonts/bariol_regular.html	(from https://www.ncl.ac.uk/)
21:03:51	24340/24340	---M--	200	added ('OK')	text/html	etag:%225f14-5ed1c843cd640%22	https://www.ncl.ac.uk/webtemplate/fonts/derailed-bold-webfont.woff2	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day17/Web81/Site81/www.ncl.ac.uk/webtemplate/fonts/derailed-bold-webfont.html	(from https://www.ncl.ac.uk/)
21:03:51	24284/24284	---M--	200	added ('OK')	text/html	etag:%225edc-5ed1c843cd640%22	https://www.ncl.ac.uk/webtemplate/fonts/derailed-extrabold-webfont.woff2	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day17/Web81/Site81/www.ncl.ac.uk/webtemplate/fonts/derailed-extrabold-webfont.html	(from https://www.ncl.ac.uk/)
21:03:51	24444/24444	---M--	200	added ('OK')	text/html	etag:%225f7c-5ed1c843cd640%22	https://www.ncl.ac.uk/webtemplate/fonts/derailed-semibold-webfont.woff2	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day17/Web81/Site81/www.ncl.ac.uk/webtemplate/fonts/derailed-semibold-webfont.html	(from https://www.ncl.ac.uk/)
21:03:52	24200/24200	---M--	200	added ('OK')	text/html	etag:%225e88-5ed1c843cd640%22	https://www.ncl.ac.uk/webtemplate/fonts/derailed-regular-webfont.woff2	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day17/Web81/Site81/www.ncl.ac.uk/webtemplate/fonts/derailed-regular-webfont.html	(from https://www.ncl.ac.uk/)
21:03:52	79100/79100	---M--	200	added ('OK')	text/html	etag:%22134fc-5ed1c843cd640%22	https://www.ncl.ac.uk/webtemplate/fonts/fa/fa-solid-900.woff2	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day17/Web81/Site81/www.ncl.ac.uk/webtemplate/fonts/fa/fa-solid-900.html	(from https://www.ncl.ac.uk/)
21:03:53	13993/13993	---M--	200	added ('OK')	text/css	etag:%2236a9-57726593a2a40%22	https://www.ncl.ac.uk/zephyr/temp_styles.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day17/Web81/Site81/www.ncl.ac.uk/zephyr/temp_styles.css	(from https://www.ncl.ac.uk/)
21:03:53	163427/163427	---M--	200	added ('OK')	text/css	etag:%2227e63-57b3e3e99aa00%22	https://www.ncl.ac.uk/zephyr/css-static/vision/main.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day17/Web81/Site81/www.ncl.ac.uk/zephyr/css-static/vision/main.css	(from https://www.ncl.ac.uk/)
21:03:55	93107/93107	---M-Z	200	added ('OK')	application/javascript	etag:W/%2262f659d5-16bb3%22	https://code.jquery.com/jquery-1.10.2.min.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day17/Web81/Site81/code.jquery.com/jquery-1.10.2.min.js	(from https://www.ncl.ac.uk/)
21:03:56	0/0	---MC-	400	error ('Bad%20Request')	text/html	date:Sat,%2012%20Nov%202022%2015:34:58%20GMT	http://metrics.ncl.ac.uk/gtm.js?id=	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day17/Web81/Site81/metrics.ncl.ac.uk/gtm.a5445.delayed	(from https://www.ncl.ac.uk/)
21:03:57	2435/2435	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2012%20Nov%202022%2015:34:58%20GMT	http://js.hs-scripts.com/5025575.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day17/Web81/Site81/js.hs-scripts.com/5025575.js	(from https://www.ncl.ac.uk/)
21:03:57	16/16	---M--	200	added ('OK')	text/javascript	date:Sat,%2012%20Nov%202022%2015:34:59%20GMT	https://secure.aiea6gaza.com/js/166409.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day17/Web81/Site81/secure.aiea6gaza.com/js/166409.js	(from https://www.ncl.ac.uk/)
21:03:58	0/0	---M--	200	added ('OK')	text/html	date:Sat,%2012%20Nov%202022%2015:34:59%20GMT	https://secure.aiea6gaza.com/166409.png	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day17/Web81/Site81/secure.aiea6gaza.com/166409.png	(from https://www.ncl.ac.uk/)
21:03:58	607/607	---M--	200	added ('OK')	application/javascript	etag:%2225f-570525ea42c40%22	https://www.ncl.ac.uk/gomobileassets/status/js/gecko_cookie.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day17/Web81/Site81/www.ncl.ac.uk/gomobileassets/status/js/gecko_cookie.js	(from https://www.ncl.ac.uk/)
21:03:59	20602/20602	---M--	200	added ('OK')	text/javascript	date:Wed,%2029%20Aug%202018%2019:39:40%20GMT	https://s.ytimg.com/yts/jsbin/www-widgetapi-vflmgpyWO/www-widgetapi.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day17/Web81/Site81/s.ytimg.com/yts/jsbin/www-widgetapi-vflmgpyWO/www-widgetapi.js	(from https://www.ncl.ac.uk/)
21:04:00	52077/52077	---M-Z	200	added ('OK')	text/html	etag:%22cb6d-5ec7ac97f530e-gzip%22	https://www.ncl.ac.uk/who-we-are/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day17/Web81/Site81/www.ncl.ac.uk/who-we-are/index.html	(from https://www.ncl.ac.uk/)
21:04:00	100888/100888	---M-Z	200	added ('OK')	text/html	date:Sat,%2012%20Nov%202022%2015:35:02%20GMT	https://www.ncl.ac.uk/study/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day17/Web81/Site81/www.ncl.ac.uk/study/index.html	(from https://www.ncl.ac.uk/)
21:04:01	642228/642228	---M--	200	added ('OK')	image/jpeg	etag:%229ccb4-5ed3ac389ad19%22	https://www.ncl.ac.uk/media/wwwnclacuk/externalhomepage/images/Virtual%20Open%20Day.jpg	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day17/Web81/Site81/www.ncl.ac.uk/media/wwwnclacuk/externalhomepage/images/Virtual%20Open%20Day.jpg	(from https://www.ncl.ac.uk/)
21:04:01	96833/96833	---M-Z	200	added ('OK')	text/html	etag:%2217a41-5ed1e86d653db-gzip%22	https://www.ncl.ac.uk/staffandstudents/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day17/Web81/Site81/www.ncl.ac.uk/staffandstudents/index.html	(from https://www.ncl.ac.uk/)
